GeneID	GCYPB	GCYPC	GCYPG	GCYPH	GCYPN	GCYPO	GCYPP	GCYPS	GCYPT	GCYPU
gene_1	0	0	0	0	0	0	0	0	0	0
gene_10	0	0	0	0	0	0	0	0	0	0
gene_100	0	42	0	16	32	165	55	66	40	54
gene_1000	0	82	0	78	31	202	30	171	70	80
gene_10000	0	3	0	5	3	12	3	7	3	6
gene_10001	0	4	0	0	1	3	0	2	0	0
gene_10002	0	2	0	0	0	1	1	4	2	2
gene_10003	0	0	0	0	0	0	1	1	1	5
gene_10004	0	92	0	77	25	141	38	96	33	50
gene_10005	0	3	0	3	4	20	4	4	8	6
gene_10006	0	36	0	31	6	74	19	27	26	21
gene_10007	0	0	0	0	0	1	0	1	1	0
gene_10008	0	83	0	51	24	122	38	130	58	72
gene_10009	0	2	0	1	0	3	2	3	0	0
gene_1001	0	1	0	4	3	3	3	6	4	2
gene_10010	0	0	0	2	0	0	0	0	0	0
gene_10011	0	14	0	9	2	27	5	16	10	5
gene_10012	0	8	0	0	0	3	0	0	3	2
gene_10013	0	7	0	6	10	14	7	4	3	6
gene_10014	0	8	0	9	21	41	24	7	6	9
gene_10015	0	1	0	0	0	5	0	2	1	0
gene_10016	0	18	0	9	1	24	2	17	5	2
gene_10017	0	0	0	0	0	0	0	0	0	0
gene_10018	0	0	0	0	0	0	0	0	0	0
gene_10019	0	4	0	1	0	7	1	1	1	0
gene_1002	0	16	0	8	3	24	13	6	5	3
gene_10020	0	0	0	0	0	0	0	0	0	0
gene_10021	0	0	0	0	0	0	0	0	1	0
gene_10022	0	0	0	0	0	0	0	0	0	0
gene_10023	0	0	0	0	0	0	0	0	0	0
gene_10024	0	8	0	6	6	14	5	3	5	5
gene_10025	0	2	0	0	1	0	1	0	0	1
gene_10026	0	8	0	19	2	17	2	18	7	11
gene_10027	0	0	0	2	0	0	0	0	0	0
gene_10028	0	10	0	14	11	44	13	38	17	26
gene_10029	0	18	0	10	11	28	9	29	12	13
gene_1003	0	3	0	6	2	14	0	2	6	8
gene_10030	0	2	0	4	0	2	1	2	0	1
gene_10031	0	0	0	0	0	0	0	0	0	0
gene_10032	0	1	0	3	0	7	0	2	1	1
gene_10033	0	0	0	0	0	0	0	0	0	0
gene_10034	0	0	0	5	0	0	0	2	0	1
gene_10035	0	0	0	0	0	2	2	1	1	0
gene_10036	0	62	0	66	20	133	29	100	37	43
gene_10037	0	9	0	6	2	7	1	0	0	1
gene_10038	0	20	0	15	11	37	20	28	13	14
gene_10039	0	36	0	52	21	82	25	70	24	30
gene_1004	0	10	0	18	13	48	13	54	30	29
gene_10040	0	1	0	3	0	1	0	0	1	0
gene_10041	0	0	0	1	0	0	0	1	0	0
gene_10042	0	0	0	0	0	0	0	0	0	0
gene_10043	0	0	0	0	0	0	0	0	0	0
gene_10044	0	0	0	2	0	3	0	0	3	0
gene_10045	0	117	0	175	75	327	87	392	137	174
gene_10046	0	8	0	8	4	16	3	6	5	4
gene_10047	0	0	0	0	0	0	0	0	0	0
gene_10048	0	31	0	14	5	22	9	18	11	4
gene_10049	0	0	0	0	0	0	0	0	0	2
gene_1005	0	11	0	15	6	38	6	27	14	22
gene_10050	0	42	0	43	116	826	491	288	132	319
gene_10051	0	0	0	0	0	4	0	0	0	0
gene_10052	0	9	0	4	9	32	11	123	6	5
gene_10053	0	2	0	2	3	14	2	3	0	4
gene_10054	0	0	0	0	0	0	0	0	0	0
gene_10055	0	0	0	1	0	1	0	0	0	1
gene_10056	0	2	0	3	4	35	18	9	5	12
gene_10057	0	24	0	18	9	42	8	26	14	20
gene_10058	0	13	0	2	4	26	8	17	20	12
gene_10059	0	1	0	0	0	0	2	0	0	0
gene_1006	0	10	0	19	7	25	10	22	16	15
gene_10060	0	13	0	13	14	42	7	30	12	14
gene_10061	0	7	0	3	4	11	28	8	7	6
gene_10062	0	99	0	62	33	168	44	83	35	60
