GeneID	GCYPW	GCYPX	GCYPZ	GCYSA	GCYSB	GCYSC	GCYSG	GCYSH	GCYSN	GCYSO	GCYSP	GCYSS
gene_1	0	0	0	0	0	0	0	0	0	0	0	0
gene_10	0	0	0	0	0	0	0	0	0	0	0	0
gene_100	0	0	0	28	78	15	21	48	82	37	59	42
gene_1000	0	0	0	55	84	32	32	74	107	56	101	73
gene_10000	0	0	0	3	13	7	3	2	8	5	9	5
gene_10001	0	0	0	2	2	0	0	2	1	0	1	0
gene_10002	0	0	0	0	5	2	1	2	0	0	1	0
gene_10003	0	0	0	4	2	1	0	0	4	2	1	1
gene_10004	0	0	0	70	105	56	18	39	76	48	82	55
gene_10005	0	0	0	3	6	3	4	3	11	5	10	10
gene_10006	0	0	0	18	65	8	3	27	40	13	34	21
gene_10007	0	0	0	0	1	0	0	0	0	0	0	0
gene_10008	0	0	0	77	116	34	26	63	90	58	87	64
gene_10009	0	0	0	1	7	1	0	0	1	0	0	1
gene_1001	0	0	0	2	6	2	1	1	4	4	3	4
gene_10010	0	0	0	0	0	0	0	0	0	0	1	0
gene_10011	0	0	0	6	4	11	2	3	14	6	9	6
gene_10012	0	0	0	1	0	5	0	1	1	1	0	6
gene_10013	1	0	0	7	13	3	4	5	10	3	8	18
gene_10014	0	0	0	6	21	6	10	11	34	10	14	17
gene_10015	0	0	0	0	2	0	2	3	3	2	6	1
gene_10016	0	0	0	7	15	6	4	3	6	7	16	3
gene_10017	0	0	0	0	0	0	0	0	0	0	0	0
gene_10018	0	0	0	0	0	0	0	0	0	0	0	0
gene_10019	0	0	0	2	0	0	0	2	2	1	0	1
gene_1002	0	0	0	12	9	7	2	3	12	4	7	4
gene_10020	0	0	0	0	0	0	0	0	0	0	0	0
gene_10021	0	0	0	0	0	0	0	0	0	0	0	0
gene_10022	0	0	0	0	0	0	0	0	0	0	0	0
gene_10023	0	0	0	0	0	0	0	0	0	0	0	0
gene_10024	0	0	0	2	10	7	1	4	3	1	0	6
gene_10025	0	0	0	1	1	2	0	2	3	0	0	0
gene_10026	0	0	0	5	17	8	2	5	13	3	15	4
gene_10027	0	0	0	0	0	0	0	0	0	0	0	0
