GeneID	GCYST	GCYSU	GCYSW	GCYSX	GCYSY	GCYSZ	GCYTA	GCYTB	GCYTC	GCYTG	GCYTH
gene_1	0	0	0	0	0	0	0	0	0	0	0
gene_10	0	0	0	0	0	0	0	0	0	0	0
gene_100	0	0	0	32	126	40	112	35	58	45	64
gene_1000	0	0	0	65	197	39	78	54	167	49	139
gene_10000	0	0	0	5	19	2	12	4	13	6	9
gene_10001	0	0	0	2	0	0	0	0	2	1	0
gene_10002	0	0	0	1	3	1	2	1	2	0	3
gene_10003	0	0	0	1	3	2	1	2	2	0	4
gene_10004	0	1	0	98	250	32	68	36	114	36	97
gene_10005	0	0	0	6	21	2	7	8	13	0	7
gene_10006	0	0	0	18	85	12	35	28	16	19	38
gene_10007	0	0	0	0	0	0	0	0	0	1	0
gene_10008	0	0	0	69	239	33	59	40	160	58	90
gene_10009	0	0	0	2	5	1	3	1	5	0	4
gene_1001	0	0	0	3	7	0	4	3	10	5	3
gene_10010	0	0	0	1	3	0	1	0	2	0	1
gene_10011	0	0	0	5	21	13	9	7	19	9	13
gene_10012	0	0	0	1	3	0	3	2	5	0	3
gene_10013	0	0	0	7	20	5	19	1	22	0	16
gene_10014	0	0	0	8	20	11	23	17	37	6	16
gene_10015	0	0	0	1	4	0	3	0	6	0	3
gene_10016	0	0	0	10	23	10	7	5	18	14	13
gene_10017	0	0	0	0	0	0	0	0	0	0	0
gene_10018	0	0	0	0	0	0	0	0	0	0	0
gene_10019	0	0	0	1	1	2	0	2	0	0	0
gene_1002	0	0	0	12	24	2	8	4	14	2	10
gene_10020	0	0	0	0	0	0	0	0	0	0	0
gene_10021	0	0	0	0	0	0	0	0	0	0	0
gene_10022	0	0	0	0	0	0	0	0	0	0	0
gene_10023	0	0	0	0	0	0	0	0	0	0	0
gene_10024	0	0	0	5	13	5	3	5	9	1	7
gene_10025	0	0	0	0	1	0	2	3	1	0	0
gene_10026	0	0	0	11	30	5	3	3	19	7	23
gene_10027	0	0	0	0	0	0	0	1	0	0	0
gene_10028	0	0	0	10	30	13	18	7	34	13	28
gene_10029	0	0	0	7	38	7	17	8	25	12	27
gene_1003	0	0	0	1	12	3	7	0	11	1	7
gene_10030	0	0	0	7	8	0	0	1	2	1	3
gene_10031	0	0	0	0	0	0	0	0	0	0	0
gene_10032	0	0	0	1	8	4	0	1	4	0	7
gene_10033	0	0	0	0	0	0	0	0	0	0	0
