GeneID	GCYTN	GCYTO	GCYTP	GCYTS	GCYTT	GCYTU	GCYTW	GCYTX	GCYTY	GCYTZ	GCYUA
gene_1	0	0	0	0	0	0	0	0	0	0	0
gene_10	0	0	0	0	0	0	0	0	0	0	0
gene_100	0	0	0	79	53	43	128	94	82	67	83
gene_1000	1	0	0	127	93	160	143	92	64	86	62
gene_10000	0	0	0	14	6	6	13	7	7	2	5
gene_10001	0	0	0	3	0	0	0	0	2	0	0
gene_10002	0	0	0	4	2	6	2	3	7	4	0
gene_10003	0	0	0	7	4	4	5	3	3	1	4
gene_10004	0	0	0	143	152	226	77	128	69	76	44
gene_10005	0	0	0	10	7	6	11	14	3	8	7
gene_10006	0	0	0	46	57	62	62	36	40	26	40
gene_10007	0	0	0	1	1	0	0	1	0	0	1
gene_10008	0	0	0	162	140	143	103	86	59	91	78
gene_10009	1	0	0	4	3	6	0	2	2	0	0
gene_1001	1	0	0	7	2	12	7	2	6	3	1
gene_10010	0	0	0	1	2	1	0	1	0	0	0
gene_10011	0	0	0	8	16	21	14	16	5	6	9
gene_10012	0	0	0	7	2	1	6	3	1	4	0
gene_10013	0	0	0	12	6	11	23	8	5	6	9
gene_10014	0	0	0	17	5	6	65	34	21	17	18
gene_10015	0	0	0	3	3	13	2	3	4	4	0
gene_10016	0	0	0	17	19	25	11	10	11	6	13
gene_10017	0	0	0	0	0	0	0	0	0	0	0
gene_10018	0	0	0	0	0	0	0	0	0	0	0
gene_10019	0	0	0	2	1	2	1	5	3	1	2
gene_1002	0	0	0	21	13	13	13	5	3	1	5
gene_10020	0	0	0	1	0	0	0	0	0	0	0
gene_10021	0	0	0	0	0	0	0	0	0	0	1
gene_10022	0	0	0	0	0	0	0	0	0	0	0
gene_10023	0	0	0	0	0	0	0	0	0	0	0
gene_10024	0	0	0	19	15	15	11	6	6	10	2
gene_10025	0	0	0	4	3	1	0	1	0	0	0
gene_10026	0	0	0	17	8	44	4	9	11	11	8
gene_10027	0	0	0	1	0	0	0	0	1	0	0
gene_10028	0	0	0	25	24	36	34	28	15	25	13
gene_10029	0	0	0	26	27	33	20	25	17	22	15
gene_1003	0	0	0	11	6	14	3	7	1	3	4
gene_10030	0	0	0	4	1	4	3	4	6	2	0
gene_10031	0	0	0	0	0	0	0	0	0	0	0
gene_10032	0	0	0	6	6	4	0	4	6	1	2
gene_10033	0	0	0	0	0	0	0	0	0	0	0
