GeneID	GGAAT	GGAAU	GGAAW	GGAAX	GGAAY	GGAAZ	GGABA	GGABB	GGABC	GCYUP	GCYUS	GCYUT
gene_1	0	0	0	0	0	0	0	0	0	0	0	0
gene_10	0	0	0	0	0	0	0	0	0	0	0	0
gene_100	0	0	0	17	56	105	41	62	74	39	60	31
gene_1000	0	0	0	41	96	124	23	49	76	60	75	26
gene_10000	0	0	0	2	6	11	3	4	3	0	1	1
gene_10001	0	0	0	0	2	3	0	0	1	1	0	0
gene_10002	0	0	0	2	2	1	0	3	1	2	4	0
gene_10003	0	0	0	1	0	5	0	3	10	1	0	1
gene_10004	0	0	0	21	138	210	26	40	59	44	40	27
gene_10005	0	0	0	3	3	4	1	6	3	4	5	6
gene_10006	0	0	0	10	36	59	27	17	33	23	29	22
gene_10007	0	0	0	0	0	0	0	1	1	0	0	0
gene_10008	0	0	0	14	98	148	33	40	77	67	55	35
gene_10009	0	0	0	0	1	3	0	0	2	2	0	1
gene_1001	0	0	0	0	3	6	1	2	4	4	1	0
gene_10010	0	0	0	3	1	4	0	0	1	0	0	0
gene_10011	0	0	0	4	11	11	8	9	7	8	10	2
gene_10012	0	0	0	0	0	2	0	0	4	1	3	2
gene_10013	0	0	0	4	10	17	7	3	6	10	6	3
gene_10014	0	0	0	3	16	17	16	16	38	24	7	9
gene_10015	0	0	0	1	2	3	3	0	4	2	1	0
gene_10016	0	0	0	9	13	17	5	9	9	4	10	6
gene_10017	0	0	0	0	0	0	0	0	0	0	0	0
gene_10018	0	0	0	0	0	0	0	0	0	0	0	0
gene_10019	0	0	0	0	1	4	0	0	2	3	0	1
gene_1002	0	0	0	2	9	24	8	2	9	7	5	1
gene_10020	0	0	0	0	0	0	0	0	0	0	0	0
gene_10021	0	0	0	0	0	0	0	0	0	0	0	0
gene_10022	0	0	0	0	0	0	0	0	0	0	0	0
gene_10023	0	0	0	0	0	0	0	0	0	0	0	0
gene_10024	0	0	0	2	9	20	10	5	3	4	2	2
gene_10025	0	0	0	0	0	0	0	0	6	0	0	0
gene_10026	0	0	0	4	11	20	1	7	6	4	3	3
gene_10027	0	0	0	0	0	0	0	0	0	0	1	0
