GeneID	GGABG	GGABH	GGABN	GGABO	GGABP	GGABS	GGABT	GGABU	GGABW	GGABX
gene_1	0	0	0	0	0	0	0	0	0	0
gene_10	0	0	0	0	0	0	0	0	0	0
gene_100	0	0	0	20	6	11	22	97	20	34
gene_1000	0	0	0	82	6	34	20	116	34	66
gene_10000	0	0	0	3	0	3	0	7	1	7
gene_10001	0	0	0	0	0	0	0	1	0	0
gene_10002	0	0	0	2	0	0	1	2	2	1
gene_10003	0	0	0	3	0	0	0	4	0	2
gene_10004	0	0	0	86	2	8	13	78	22	48
gene_10005	0	0	0	2	0	3	3	12	1	8
gene_10006	0	0	0	7	0	5	11	17	10	18
gene_10007	0	0	0	2	0	0	0	0	0	0
gene_10008	0	0	0	69	0	20	11	95	34	43
gene_10009	0	0	0	3	0	0	0	1	1	3
gene_1001	0	0	0	9	0	8	0	5	0	0
gene_10010	0	0	0	1	0	0	0	0	0	0
gene_10011	0	0	0	11	0	4	4	15	5	4
gene_10012	0	0	0	1	0	0	0	3	0	2
gene_10013	0	0	0	8	4	8	0	8	3	8
gene_10014	0	0	0	11	0	8	12	29	7	14
gene_10015	0	0	0	3	0	0	0	1	1	2
gene_10016	0	0	0	19	0	1	1	8	7	6
gene_10017	0	0	0	0	0	0	0	0	0	0
gene_10018	0	0	0	0	0	0	0	0	0	0
gene_10019	0	0	0	0	0	0	0	5	0	0
gene_1002	0	0	0	17	0	0	1	7	1	5
gene_10020	0	0	0	0	0	0	0	0	0	0
gene_10021	0	0	0	0	0	0	0	0	0	0
gene_10022	0	0	0	0	0	0	0	0	0	0
gene_10023	0	0	0	0	0	0	0	0	0	0
gene_10024	0	0	0	10	0	0	3	16	2	3
gene_10025	0	0	0	2	0	0	1	1	0	0
gene_10026	0	0	0	15	1	9	1	11	1	7
gene_10027	0	0	0	1	0	0	0	0	0	0
gene_10028	0	0	0	17	0	2	3	29	12	7
gene_10029	0	0	0	12	3	4	2	16	2	10
gene_1003	0	0	0	16	0	0	0	8	4	1
gene_10030	0	0	0	0	0	0	0	2	0	1
gene_10031	0	0	0	0	0	0	0	0	0	0
gene_10032	0	0	0	2	0	0	0	1	0	2
gene_10033	0	0	0	1	0	0	0	2	0	1
gene_10034	0	0	0	0	0	0	0	0	0	0
gene_10035	0	0	0	0	0	0	0	2	3	5
gene_10036	0	0	0	62	4	19	19	48	21	38
gene_10037	0	0	0	8	0	0	0	4	0	3
gene_10038	0	0	0	22	2	3	3	13	6	12
gene_10039	0	0	0	56	1	11	7	53	12	34
gene_1004	0	0	0	20	2	17	5	54	9	21
gene_10040	0	0	0	4	0	0	0	2	1	0
gene_10041	0	0	0	1	0	0	0	0	0	0
gene_10042	0	0	0	0	0	0	0	0	0	0
gene_10043	0	0	0	0	0	0	0	0	0	0
gene_10044	0	0	0	5	0	0	1	2	0	3
gene_10045	0	0	0	155	10	47	32	307	89	148
gene_10046	0	0	0	3	0	0	0	5	1	5
gene_10047	0	0	0	0	0	0	0	0	0	0
gene_10048	0	0	0	27	0	6	1	21	1	8
gene_10049	0	0	0	0	0	0	0	0	0	1
gene_1005	0	0	0	18	0	3	0	24	8	14
gene_10050	1	0	0	103	10	114	73	496	113	147
gene_10051	0	0	0	1	0	0	0	1	0	0
gene_10052	0	0	0	12	0	0	1	50	4	19
gene_10053	0	0	0	6	1	0	0	8	1	4
gene_10054	0	0	0	0	0	0	0	0	0	0
gene_10055	0	0	0	1	0	0	0	0	0	0
gene_10056	0	0	0	4	2	0	8	14	6	7
gene_10057	0	0	0	20	0	6	10	22	5	23
gene_10058	0	0	0	11	0	0	0	8	4	10
gene_10059	0	0	0	1	0	0	0	0	0	0
gene_1006	0	0	0	14	0	1	0	22	6	10
gene_10060	0	0	0	29	0	6	2	36	6	11
gene_10061	0	0	0	5	0	4	1	4	2	7
gene_10062	0	0	0	64	7	24	16	88	29	70
