GeneID	GGABY	GCYUU	GCYUW	GCYUX	GCYUY	GCYUZ	GCYWA	GCYWB	GCYWC	GCYWG	GCUXP
gene_1	0	0	0	0	0	0	0	0	0	0	0
gene_10	0	0	0	0	0	0	0	0	0	0	0
gene_100	0	0	24	28	17	51	99	102	33	42	65
gene_1000	1	0	34	63	96	93	88	131	46	14	116
gene_10000	0	0	4	1	13	9	5	14	5	0	4
gene_10001	0	0	0	0	0	0	1	5	0	0	0
gene_10002	0	0	1	1	2	1	0	4	0	0	3
gene_10003	0	0	0	0	2	4	1	0	2	0	2
gene_10004	0	0	51	76	162	94	79	100	46	19	81
gene_10005	0	0	3	3	4	6	8	6	8	5	5
gene_10006	0	0	10	19	25	19	42	61	13	23	30
gene_10007	0	0	0	0	0	0	0	2	0	0	0
gene_10008	0	0	50	69	101	77	82	94	56	20	81
gene_10009	0	0	0	2	1	1	3	1	0	0	0
gene_1001	0	0	5	5	10	7	7	2	2	0	6
gene_10010	0	0	0	1	0	1	1	0	1	0	0
gene_10011	0	0	6	16	24	8	7	24	12	3	9
gene_10012	0	0	1	0	1	13	3	5	0	0	0
gene_10013	0	0	1	2	6	21	16	24	2	2	11
gene_10014	0	0	2	1	5	11	22	37	3	10	19
gene_10015	0	0	0	1	3	2	2	3	0	2	1
gene_10016	0	0	8	13	18	9	9	13	3	1	8
gene_10017	0	0	0	0	0	0	0	0	0	0	0
gene_10018	0	0	0	0	0	0	0	0	0	0	0
gene_10019	0	0	0	1	1	0	0	2	1	0	1
gene_1002	0	0	4	3	6	10	6	9	5	1	13
gene_10020	0	0	0	0	0	0	0	0	0	0	0
gene_10021	0	0	0	0	0	0	0	0	0	0	0
gene_10022	0	0	0	0	0	0	0	0	0	0	0
gene_10023	0	0	0	0	0	0	0	0	0	0	0
gene_10024	0	0	5	3	7	5	5	9	1	0	7
gene_10025	0	0	0	0	3	0	0	0	0	0	1
gene_10026	0	0	11	13	27	5	17	19	4	0	25
gene_10027	0	0	0	0	0	0	0	0	0	1	0
gene_10028	0	0	10	15	27	33	24	19	15	11	22
gene_10029	0	0	12	14	28	26	23	22	15	6	18
gene_1003	0	0	2	5	5	5	1	18	3	1	6
gene_10030	0	0	4	1	5	0	4	2	0	3	2
gene_10031	0	0	0	0	0	0	0	0	0	0	0
gene_10032	0	0	2	5	2	2	3	3	0	0	2
gene_10033	0	0	0	0	0	0	0	0	0	0	1
