GeneID	GCUXS	GCUXT	GCUXU	GCUXW	GCUXX	GCUXY	GCUXZ	GCUYA	GCUYB	GCUYC	GCUYG	GCUYH
gene_1	0	0	0	0	0	0	0	0	0	0	0	0
gene_10	0	0	0	0	0	0	0	0	0	0	0	0
gene_100	0	0	0	31	17	32	71	51	49	19	14	70
gene_1000	0	0	0	90	54	122	120	52	61	35	22	62
gene_10000	0	0	0	19	3	15	4	6	2	2	0	4
gene_10001	0	0	0	1	0	0	0	0	1	0	0	1
gene_10002	0	0	0	4	1	4	2	0	0	0	0	0
gene_10003	0	0	0	1	0	2	7	1	3	1	0	2
gene_10004	0	0	0	175	106	106	101	48	49	30	17	47
gene_10005	0	0	0	6	5	13	14	1	11	4	0	13
gene_10006	0	0	0	33	12	15	39	30	30	12	9	29
gene_10007	0	0	0	0	0	0	0	0	0	0	0	0
gene_10008	0	0	0	119	66	101	84	46	47	36	21	37
gene_10009	0	0	0	3	5	3	1	2	1	1	1	0
gene_1001	0	0	0	2	9	12	2	3	2	0	1	1
gene_10010	0	0	0	2	1	2	0	0	0	0	0	0
gene_10011	0	0	0	10	10	16	12	3	15	1	1	11
gene_10012	0	0	0	2	0	1	1	2	1	2	4	0
gene_10013	0	0	0	13	1	2	12	10	6	1	1	6
gene_10014	0	0	0	11	4	4	34	23	17	6	4	12
gene_10015	0	0	0	5	1	4	0	0	3	3	0	1
gene_10016	0	0	0	27	17	33	15	5	10	5	3	3
gene_10017	0	0	0	0	0	0	0	0	0	0	0	0
gene_10018	0	0	0	0	0	0	0	0	0	0	0	0
gene_10019	0	0	0	1	0	2	2	1	1	0	0	0
gene_1002	0	0	0	12	6	10	11	2	8	1	2	4
gene_10020	0	0	0	0	0	1	0	0	0	0	0	0
gene_10021	0	0	0	2	0	0	0	0	0	0	1	0
gene_10022	0	0	0	0	0	0	0	0	0	0	0	0
gene_10023	0	0	0	0	0	0	0	0	0	0	0	0
gene_10024	0	0	0	13	11	6	7	5	2	0	1	3
gene_10025	0	0	0	2	0	5	2	3	0	1	0	2
gene_10026	0	0	0	24	25	28	18	10	12	1	2	6
gene_10027	0	0	0	0	0	0	0	0	1	0	0	0
