GeneID	GCUYS	GCUYT	GCUYU	GCUYW	GCUYX	GCUYY	GCUYZ	GCUZA	GCUZB	GCUYN	GCUYO
gene_1	0	0	0	0	0	0	0	0	0	0	0
gene_10	0	0	0	0	0	0	0	0	0	0	0
gene_100	0	0	0	36	20	106	336	44	21	58	129
gene_1000	0	0	0	88	142	105	212	49	30	57	125
gene_10000	0	0	0	9	15	10	25	13	2	3	5
gene_10001	0	0	0	0	1	0	1	0	1	0	2
gene_10002	0	0	0	2	2	4	8	2	3	2	5
gene_10003	0	0	0	3	2	3	7	1	0	0	0
gene_10004	0	0	0	148	199	56	209	55	27	39	147
gene_10005	0	0	0	6	7	8	41	7	1	10	23
gene_10006	0	0	0	35	24	38	97	25	13	23	68
gene_10007	0	0	0	0	0	0	3	0	0	0	0
gene_10008	0	0	0	121	121	81	214	54	29	45	123
gene_10009	0	0	0	2	4	2	3	0	1	1	2
gene_1001	0	0	0	6	9	2	15	1	2	3	2
gene_10010	0	0	0	0	3	0	2	0	0	0	0
gene_10011	0	0	0	5	24	10	29	8	3	7	20
gene_10012	0	0	0	2	0	2	4	1	1	1	1
gene_10013	0	0	0	4	4	13	21	16	3	5	20
gene_10014	0	0	0	10	6	27	75	10	3	10	36
gene_10015	0	0	0	0	9	6	8	0	0	2	4
gene_10016	0	0	0	19	11	22	25	6	2	7	10
gene_10017	0	0	0	0	0	0	0	0	0	0	0
gene_10018	0	0	0	0	0	0	0	0	0	0	0
gene_10019	0	0	0	0	2	3	6	3	0	0	1
gene_1002	0	0	0	24	5	8	19	6	6	8	26
gene_10020	0	0	0	0	0	0	0	0	0	0	0
gene_10021	0	0	0	0	1	0	0	0	0	0	0
gene_10022	0	0	0	0	0	0	0	0	0	0	0
gene_10023	0	0	0	0	0	0	0	0	0	0	0
gene_10024	0	0	0	8	9	2	19	2	3	3	9
gene_10025	0	0	0	0	0	0	5	1	0	0	1
gene_10026	0	0	0	11	46	10	16	12	6	6	9
gene_10027	0	0	0	0	1	0	1	0	0	0	0
gene_10028	0	0	0	18	33	29	53	15	6	11	19
gene_10029	0	0	0	30	19	21	49	17	6	19	36
gene_1003	0	0	0	9	12	13	22	7	7	4	15
gene_10030	0	0	0	15	8	6	7	2	2	2	4
gene_10031	0	0	0	0	0	0	0	0	0	0	0
gene_10032	0	0	0	2	2	1	8	2	0	2	2
gene_10033	0	0	0	0	0	0	0	0	0	0	0
