GeneID	GCWZC	GCWZG	GCWZH	GCWZN	GCWZO	GCWZP	GCWZS	GCWZT	GCWZU	GCWZW	GCWZX
gene_1	0	0	0	0	0	0	0	0	0	0	0
gene_10	0	0	0	0	0	0	0	0	0	0	0
gene_100	0	0	0	45	29	56	43	61	79	37	105
gene_1000	0	0	0	169	134	76	63	67	69	42	172
gene_10000	0	0	0	16	10	7	3	4	10	2	12
gene_10001	0	0	0	1	0	1	0	1	0	0	5
gene_10002	0	0	0	2	3	1	1	2	3	1	7
gene_10003	0	0	0	2	3	2	1	2	2	2	2
gene_10004	0	0	0	280	171	52	34	59	57	35	145
gene_10005	0	0	0	6	11	11	5	6	6	6	18
gene_10006	0	0	0	37	33	18	23	23	32	13	48
gene_10007	0	0	0	0	0	0	1	1	0	0	0
gene_10008	0	0	0	178	116	48	43	51	76	46	113
gene_10009	0	0	0	1	3	1	2	2	1	0	1
gene_1001	0	0	0	7	12	1	2	5	4	2	5
gene_10010	0	0	0	4	1	0	0	0	0	0	1
gene_10011	0	0	0	22	19	15	13	8	4	5	13
gene_10012	0	0	0	2	0	6	1	1	1	0	10
gene_10013	0	0	0	7	8	3	1	5	7	4	22
gene_10014	0	0	0	14	10	14	13	22	22	7	39
gene_10015	0	0	0	5	0	0	1	2	1	1	6
gene_10016	0	0	0	38	30	8	8	13	7	5	15
gene_10017	0	0	0	0	0	0	0	0	0	0	0
gene_10018	0	0	0	0	0	0	0	0	0	0	0
gene_10019	0	0	0	0	0	1	3	0	0	1	0
gene_1002	0	0	0	24	12	1	8	7	5	3	10
gene_10020	0	0	0	0	0	0	0	0	0	0	1
gene_10021	0	0	0	0	0	0	0	0	0	0	0
gene_10022	0	0	0	0	0	0	0	0	0	0	0
gene_10023	0	0	0	0	0	0	0	0	0	0	0
gene_10024	0	0	0	16	20	2	2	2	4	3	18
gene_10025	0	0	0	3	2	0	1	3	1	1	1
gene_10026	0	0	0	30	26	8	4	8	7	3	18
gene_10027	0	0	0	1	3	0	0	2	0	0	1
gene_10028	0	0	0	44	22	16	12	15	18	13	29
gene_10029	0	0	0	56	28	10	10	9	12	6	21
gene_1003	0	0	0	13	11	9	3	6	4	3	6
gene_10030	0	0	0	8	5	0	2	3	1	0	5
gene_10031	0	0	0	0	0	0	0	0	0	0	0
gene_10032	0	0	0	9	4	4	1	3	1	1	1
gene_10033	0	0	0	0	0	0	0	0	0	0	0
