GeneID	GCWZY	GCWZZ	GCXAA	GCXAB	GCXAC	GCXAG	GCXAH	GCXAN	GCXAO	GCXAP	GCXAS	GCXAT
gene_1	0	0	0	0	0	0	0	0	0	0	0	0
gene_10	0	0	0	0	0	0	0	0	0	0	0	0
gene_100	0	0	0	41	18	7	47	79	37	20	21	28
gene_1000	0	0	0	73	89	126	57	81	49	30	29	50
gene_10000	0	0	0	5	6	7	6	7	2	2	2	1
gene_10001	0	0	0	0	0	0	1	0	0	0	0	0
gene_10002	0	0	0	2	2	0	1	2	1	0	0	3
gene_10003	0	0	0	1	0	0	1	8	1	2	1	1
gene_10004	0	0	0	124	144	94	30	68	44	28	21	38
gene_10005	0	0	0	6	6	1	2	4	10	2	5	4
gene_10006	0	0	0	34	25	9	18	33	23	15	14	22
gene_10007	0	0	0	0	0	0	0	0	0	0	0	0
gene_10008	0	0	0	63	70	81	27	57	36	28	32	38
gene_10009	0	0	0	2	1	2	0	2	2	0	0	0
gene_1001	0	0	0	5	2	4	1	2	0	0	3	1
gene_10010	0	0	0	1	0	1	0	3	1	0	0	0
gene_10011	0	0	0	5	9	18	2	9	1	7	6	6
gene_10012	0	0	0	1	0	1	0	3	3	3	2	0
gene_10013	0	0	0	3	10	1	2	13	3	3	1	7
gene_10014	0	0	0	4	8	8	17	22	18	5	8	9
gene_10015	0	0	0	0	0	0	1	1	0	1	0	2
gene_10016	0	0	0	11	14	12	9	2	6	1	3	7
gene_10017	0	0	0	0	0	0	0	0	0	0	0	0
gene_10018	0	0	0	0	0	0	0	0	0	0	0	0
gene_10019	0	0	0	1	0	0	0	0	1	0	0	3
gene_1002	0	0	0	7	8	7	4	8	2	4	4	12
gene_10020	0	0	0	0	0	0	0	0	0	0	0	0
gene_10021	0	0	0	0	0	0	0	0	0	0	0	0
gene_10022	0	0	0	0	0	0	0	0	0	0	0	0
gene_10023	0	0	0	0	0	0	0	0	0	0	0	0
gene_10024	0	0	0	6	7	3	3	6	4	1	3	3
gene_10025	0	0	0	1	1	3	0	2	1	1	1	2
gene_10026	0	0	0	13	18	24	3	11	12	1	5	3
gene_10027	0	0	0	0	0	0	0	0	0	0	0	0
