GeneID	GCXAU	GCXAW	GCXAX	GCXAY	GCYOA	GCYOB	GCYOC	GCYOG	GCYOH	GCXAZ	GCXBA
gene_1	0	0	0	0	0	0	0	0	0	0	0
gene_10	0	0	0	0	0	0	0	0	0	0	0
gene_100	0	0	0	19	30	12	291	45	75	73	31
gene_1000	0	0	0	70	276	77	357	77	62	59	41
gene_10000	0	0	0	9	23	6	22	1	6	5	1
gene_10001	0	0	0	0	2	4	3	2	5	0	0
gene_10002	0	0	0	2	5	2	12	2	1	0	0
gene_10003	0	0	0	2	5	0	3	4	2	0	0
gene_10004	0	0	0	93	258	49	333	57	44	62	21
gene_10005	0	0	0	2	10	2	22	5	7	7	3
gene_10006	0	0	0	13	22	14	132	24	38	38	8
gene_10007	0	0	0	0	0	0	0	0	1	0	0
gene_10008	0	0	0	75	223	73	286	63	57	79	29
gene_10009	0	0	0	3	4	0	2	0	0	1	0
gene_1001	0	0	0	3	13	3	22	2	0	1	1
gene_10010	0	0	0	0	0	0	1	0	0	0	0
gene_10011	0	0	0	21	58	11	38	9	3	4	2
gene_10012	0	0	0	0	3	0	9	0	0	0	0
gene_10013	0	0	0	2	10	9	50	13	9	8	3
gene_10014	0	0	0	5	12	7	81	18	34	15	5
gene_10015	0	0	0	1	0	0	17	1	3	0	0
gene_10016	0	0	0	12	48	18	32	12	3	7	3
gene_10017	0	0	0	0	0	0	0	0	0	0	0
gene_10018	0	0	0	0	0	0	0	0	0	0	0
gene_10019	0	0	0	1	3	3	5	0	0	3	0
gene_1002	0	0	0	8	23	4	36	7	12	5	1
gene_10020	0	0	0	0	0	0	1	0	0	0	0
gene_10021	0	0	0	0	0	0	0	0	0	0	0
gene_10022	0	0	0	0	0	0	0	0	0	0	0
gene_10023	0	0	0	0	0	0	0	0	0	0	0
gene_10024	0	0	0	8	20	4	11	2	5	4	1
gene_10025	0	0	0	2	4	2	7	0	0	1	0
gene_10026	0	0	0	14	56	8	59	5	10	13	1
gene_10027	0	0	0	0	0	0	2	0	0	0	0
gene_10028	0	0	0	21	51	20	84	15	14	19	8
gene_10029	0	0	0	15	64	8	69	15	14	14	6
gene_1003	0	0	0	3	23	9	25	3	4	4	2
gene_10030	0	0	0	3	11	1	9	2	5	4	0
gene_10031	0	0	0	0	0	0	0	0	0	0	0
gene_10032	0	0	0	0	8	3	11	1	1	4	0
gene_10033	0	0	0	0	0	0	0	0	0	0	0
