GeneID	GGACP	GGACS	GGACT	GGACU	GGAXP	GGAXS	GGAXT	GGAXU	GGAXW	GGAXX	GGAXY	GGAXZ
gene_1	0	0	0	0	0	0	0	0	0	0	0	0
gene_10	0	0	0	0	0	0	0	0	0	0	0	0
gene_100	0	0	0	23	15	7	27	40	108	38	50	55
gene_1000	0	0	0	163	83	45	47	66	109	61	43	102
gene_10000	0	0	0	8	6	5	4	1	13	10	0	8
gene_10001	0	0	0	0	0	0	0	1	2	0	0	0
gene_10002	0	0	0	2	0	0	1	1	5	1	1	8
gene_10003	0	0	0	4	2	2	1	0	1	0	3	1
gene_10004	0	0	0	124	79	32	36	39	87	66	39	82
gene_10005	0	0	0	6	2	1	1	5	15	10	7	18
gene_10006	0	0	0	20	10	6	15	30	34	9	31	23
gene_10007	0	0	0	0	1	0	0	0	0	0	0	1
gene_10008	0	0	0	119	74	38	30	43	89	54	46	82
gene_10009	0	0	0	3	0	1	2	2	0	3	0	3
gene_1001	0	0	0	5	3	6	0	4	2	3	3	8
gene_10010	0	0	0	1	0	1	0	0	1	0	0	1
gene_10011	0	0	0	17	12	5	1	8	22	12	8	17
gene_10012	0	0	0	5	0	0	1	2	3	0	3	4
gene_10013	0	0	0	7	4	3	8	6	14	4	2	12
gene_10014	0	0	0	31	8	6	13	23	32	16	11	20
gene_10015	0	0	0	0	0	4	1	2	3	1	3	3
gene_10016	0	0	0	17	17	10	4	10	9	9	3	5
gene_10017	0	0	0	0	0	0	0	0	0	0	0	0
gene_10018	0	0	0	0	0	0	0	0	0	0	0	0
gene_10019	0	0	0	1	0	1	0	2	2	0	0	0
gene_1002	0	0	0	10	3	3	3	4	14	1	10	5
gene_10020	0	0	0	0	0	0	0	0	0	0	0	0
gene_10021	0	0	0	0	0	0	0	0	0	0	0	0
gene_10022	0	0	0	0	0	0	0	0	0	0	0	0
gene_10023	0	0	0	0	0	0	0	0	0	0	0	0
gene_10024	0	0	0	11	17	7	1	2	8	2	2	3
gene_10025	0	0	0	0	1	1	0	2	0	0	0	1
gene_10026	0	0	0	12	12	11	3	6	8	9	5	4
gene_10027	0	0	0	0	0	0	0	0	0	0	0	1
