GeneID	GGAYA	GGAYB	GGAYC	GGAYG	GGAYH	GGAYS	GGAYT	GGAYU	GGAYW	GGAYN	GGAYO	GGAYP
gene_1	0	0	0	0	0	0	0	0	0	0	0	0
gene_10	0	0	0	0	0	0	0	0	0	0	0	0
gene_100	0	0	0	20	16	10	58	87	41	50	61	101
gene_1000	0	0	0	85	127	73	57	75	48	67	106	128
gene_10000	0	0	0	2	7	6	0	14	5	4	5	15
gene_10001	0	0	0	0	0	0	1	1	0	2	0	1
gene_10002	0	0	0	1	1	0	0	3	1	2	3	0
gene_10003	0	0	0	1	4	2	3	0	7	0	1	6
gene_10004	0	0	0	95	111	67	34	87	33	33	55	128
gene_10005	0	0	0	4	7	2	2	13	8	0	7	20
gene_10006	0	0	0	10	13	9	23	53	21	26	28	53
gene_10007	0	0	0	0	0	0	0	1	1	0	0	0
gene_10008	0	0	0	55	104	53	50	68	49	54	97	116
gene_10009	0	0	0	2	1	2	1	2	2	0	1	1
gene_1001	0	0	0	8	11	7	6	1	5	8	6	3
gene_10010	0	0	0	1	0	2	0	0	0	0	0	0
gene_10011	0	0	0	12	22	12	8	10	3	3	10	12
gene_10012	0	0	0	0	2	0	1	2	1	1	0	7
gene_10013	0	0	0	2	3	2	1	17	5	3	6	12
gene_10014	0	0	0	5	1	14	26	25	12	15	15	27
gene_10015	0	0	0	0	0	2	1	5	4	1	4	1
gene_10016	0	0	0	20	23	21	3	5	7	8	2	10
gene_10017	0	0	0	0	0	0	0	0	0	0	0	0
gene_10018	0	0	0	0	0	0	0	0	0	0	0	0
gene_10019	0	0	0	4	1	0	1	1	0	1	2	1
gene_1002	0	0	0	5	10	8	8	8	10	6	7	12
gene_10020	0	0	0	3	0	0	0	0	0	0	0	0
gene_10021	0	0	0	0	0	0	0	0	0	0	0	0
gene_10022	0	0	0	0	0	0	0	0	0	0	0	0
gene_10023	0	0	0	0	0	0	0	0	0	0	0	0
gene_10024	0	0	0	7	6	4	4	9	7	1	3	6
gene_10025	0	0	0	0	4	0	0	1	0	0	1	1
gene_10026	0	0	0	9	42	21	10	8	8	4	8	20
gene_10027	0	0	0	0	0	2	0	0	0	0	0	0
