GeneID	GGAYX	GGAYY	GGAYZ	GGAZA	GGAZB	GGAZC	GGAZG	GGAZH	GGAZN	GGAZO
gene_1	0	0	0	0	0	0	0	0	0	0
gene_10	0	0	0	0	0	0	0	0	0	0
gene_100	0	0	16	14	100	196	65	24	77	75
gene_1000	0	0	105	102	63	150	82	39	119	108
gene_10000	0	0	4	8	7	8	7	0	6	4
gene_10001	0	0	0	1	0	3	2	0	0	1
gene_10002	0	0	3	0	0	1	3	0	1	0
gene_10003	0	0	0	5	2	1	4	0	1	2
gene_10004	0	0	114	105	47	122	62	33	84	64
gene_10005	0	0	3	1	7	16	13	5	8	7
gene_10006	0	0	12	16	36	44	39	10	61	23
gene_10007	0	0	0	0	0	0	0	0	0	0
gene_10008	0	0	113	97	69	153	55	40	96	82
gene_10009	0	0	4	1	1	0	1	1	0	0
gene_1001	0	0	2	4	3	4	8	2	4	6
gene_10010	0	0	4	0	1	0	3	0	0	0
gene_10011	0	0	15	23	9	26	3	6	17	8
gene_10012	0	0	0	0	1	7	1	4	2	4
gene_10013	0	0	3	3	8	14	5	2	9	17
gene_10014	0	0	2	5	31	61	30	11	22	30
gene_10015	0	0	2	0	1	2	1	0	1	0
gene_10016	0	0	19	13	11	9	10	2	8	12
gene_10017	0	0	0	0	0	0	0	0	0	0
gene_10018	0	0	0	0	0	0	0	0	0	0
gene_10019	0	0	2	1	1	1	2	0	7	0
gene_1002	0	0	9	11	8	13	8	3	6	12
gene_10020	0	0	0	0	0	0	0	0	0	0
gene_10021	0	0	0	0	0	0	0	0	0	0
gene_10022	0	0	0	0	0	0	0	0	0	0
gene_10023	0	0	0	0	0	0	0	0	0	0
gene_10024	0	0	6	8	2	7	5	3	9	3
gene_10025	0	0	1	0	0	2	0	0	0	2
gene_10026	0	0	19	18	6	10	10	7	20	8
gene_10027	0	0	0	1	0	0	0	0	0	0
gene_10028	0	0	19	26	15	36	7	8	22	25
gene_10029	0	0	17	25	11	36	14	4	34	15
gene_1003	0	0	4	10	4	13	6	7	4	7
gene_10030	0	0	1	4	2	1	2	0	1	0
gene_10031	0	0	0	0	0	0	0	0	0	0
gene_10032	0	0	5	1	0	3	0	2	0	1
gene_10033	0	0	0	0	0	0	0	0	0	0
gene_10034	0	0	1	0	0	0	0	0	1	0
gene_10035	0	0	2	0	0	9	1	0	1	0
gene_10036	0	0	68	63	39	99	58	30	70	57
gene_10037	0	0	1	4	2	13	1	6	6	4
gene_10038	0	0	15	27	14	52	16	3	31	17
gene_10039	0	0	97	80	47	75	35	24	46	53
gene_1004	0	0	20	4	27	49	20	20	30	30
gene_10040	0	0	1	1	0	2	0	0	1	1
gene_10041	0	0	1	2	3	1	0	0	6	0
gene_10042	0	0	0	0	0	0	0	0	0	0
gene_10043	0	0	0	0	0	0	0	0	0	0
gene_10044	0	0	1	0	1	6	1	4	1	4
gene_10045	0	0	286	194	125	252	159	100	227	189
gene_10046	0	0	15	18	1	11	8	6	12	14
gene_10047	0	0	0	0	0	0	0	0	0	0
gene_10048	0	0	21	35	12	25	11	2	14	17
gene_10049	0	0	0	2	1	1	0	0	0	0
gene_1005	0	0	30	16	19	28	12	13	11	22
gene_10050	0	0	101	48	97	292	171	49	357	112
gene_10051	0	0	0	0	0	0	0	0	1	3
gene_10052	0	0	10	5	10	59	9	18	5	19
gene_10053	0	0	6	5	4	13	3	4	5	3
gene_10054	0	0	0	0	0	0	0	0	0	0
gene_10055	0	0	0	0	0	0	0	0	0	0
gene_10056	0	0	2	5	2	23	11	1	31	2
gene_10057	0	0	31	46	14	41	11	15	27	23
gene_10058	0	0	23	22	18	28	15	5	14	14
gene_10059	0	0	0	0	1	0	2	0	0	0
gene_1006	0	0	33	28	11	17	12	1	14	13
gene_10060	0	0	24	27	25	31	17	13	28	24
gene_10061	0	0	12	5	6	7	15	0	2	2
gene_10062	0	0	78	81	90	206	59	42	55	100
