GeneID	GGHNG	GGHNH	GGHNN	GGHNO	GGHNP	GGHNS	GGHNT	GGHNU	GGHNW	GGAZP	GGAZS	GGHNX
gene_1	0	0	0	0	0	0	0	0	0	0	0	0
gene_10	0	0	0	0	0	0	0	0	0	0	0	0
gene_100	0	0	0	28	27	9	70	142	97	24	112	29
gene_1000	0	0	0	97	82	58	85	97	101	45	200	54
gene_10000	0	0	0	11	5	5	11	8	14	3	11	1
gene_10001	0	0	0	0	0	0	0	0	1	0	1	1
gene_10002	0	0	0	2	2	3	0	0	7	1	6	1
gene_10003	0	0	0	2	1	1	4	6	0	1	7	0
gene_10004	0	0	0	113	99	68	50	113	113	24	183	26
gene_10005	0	0	0	5	2	3	4	8	21	9	20	2
gene_10006	0	0	0	14	13	7	40	52	66	9	89	10
gene_10007	0	0	0	0	0	0	2	0	2	1	0	0
gene_10008	0	0	0	100	93	35	74	87	111	39	170	43
gene_10009	0	0	0	0	0	0	1	1	0	0	0	1
gene_1001	0	0	0	4	3	4	3	8	2	2	12	2
gene_10010	0	0	0	1	0	2	0	0	4	0	0	0
gene_10011	0	0	0	24	20	13	11	10	18	4	39	4
gene_10012	0	0	0	1	0	0	1	3	2	1	2	0
gene_10013	0	0	0	5	5	2	7	9	19	6	14	2
gene_10014	0	0	0	3	4	5	41	31	40	8	46	5
gene_10015	0	0	0	0	2	1	2	5	4	1	4	1
gene_10016	0	0	0	20	20	4	8	15	6	3	23	4
gene_10017	0	0	0	0	0	0	0	0	0	0	0	0
gene_10018	0	0	0	0	0	0	0	0	0	0	0	0
gene_10019	0	0	0	2	0	0	0	1	4	1	1	1
gene_1002	0	0	0	11	6	3	13	23	15	4	13	4
gene_10020	0	0	0	0	0	0	0	0	0	0	0	0
gene_10021	0	0	0	0	0	0	0	0	0	0	0	0
gene_10022	0	0	0	0	0	0	0	0	0	0	0	0
gene_10023	0	0	0	0	0	0	0	0	0	0	0	0
gene_10024	0	0	0	9	2	2	6	13	9	3	18	1
gene_10025	0	0	0	1	1	1	0	0	2	0	2	0
gene_10026	0	0	0	26	26	16	6	17	15	7	15	3
gene_10027	0	0	0	1	3	0	0	0	0	0	0	0
