GeneID	GGHNY	GGHNZ	GGHOA	GGHOH	GGHON	GGHOO	GGHOP	GGHOS	GGHOT	GGHOB	GGHOC	GGHOG
gene_1	0	0	0	0	0	0	0	0	0	0	0	0
gene_10	0	0	0	0	0	0	0	0	0	0	0	0
gene_100	0	0	0	51	15	8	18	84	122	19	51	48
gene_1000	0	0	0	158	77	41	7	119	114	24	42	87
gene_10000	0	0	0	10	8	5	0	14	8	4	6	8
gene_10001	0	0	0	0	1	0	0	2	2	0	0	1
gene_10002	0	0	0	0	0	1	0	3	2	0	2	1
gene_10003	0	0	0	2	0	0	0	5	3	1	1	0
gene_10004	0	0	0	153	90	63	17	109	136	27	43	60
gene_10005	0	0	0	9	1	0	2	11	15	4	5	9
gene_10006	0	0	0	30	6	11	8	37	65	13	18	27
gene_10007	0	0	0	0	0	0	0	1	0	0	0	0
gene_10008	0	0	0	173	79	51	19	106	131	23	60	66
gene_10009	0	0	0	6	0	2	0	1	4	0	1	0
gene_1001	0	0	0	2	2	7	1	3	9	2	2	3
gene_10010	0	0	0	1	0	0	0	2	0	0	0	1
gene_10011	0	0	0	15	8	9	2	14	24	1	5	11
gene_10012	0	0	0	0	0	1	0	5	3	3	0	1
gene_10013	0	0	0	7	2	0	2	13	13	3	12	4
gene_10014	0	0	0	25	12	6	3	29	62	6	15	18
gene_10015	0	0	0	6	0	1	0	2	3	0	1	2
gene_10016	0	0	0	16	12	4	6	22	14	2	3	10
gene_10017	0	0	0	0	0	0	0	0	0	0	0	0
gene_10018	0	0	0	0	0	0	0	0	0	0	0	0
gene_10019	0	0	0	1	0	1	0	1	2	0	0	0
gene_1002	0	0	0	9	10	4	1	17	15	1	11	6
gene_10020	0	0	0	0	0	0	0	0	0	0	0	0
gene_10021	0	0	0	0	0	0	0	0	0	0	0	0
gene_10022	0	0	0	0	0	0	0	0	0	0	0	0
gene_10023	0	0	0	0	0	0	0	0	0	0	0	0
gene_10024	0	0	0	18	9	3	2	7	10	0	2	6
gene_10025	0	0	0	0	1	0	0	2	0	0	0	2
gene_10026	0	0	0	55	12	16	1	13	10	4	5	11
gene_10027	0	0	0	0	0	0	0	0	0	0	0	0
