GeneID	GGHOU	GGHOW	GGHOX	GGHOY	GGHOZ	GGHPA	GGHPB	GGHPC	GGHPG	GGHPH
gene_1	0	0	0	0	0	0	0	0	0	0
gene_10	0	0	0	0	0	0	0	0	0	0
gene_100	0	0	33	13	96	74	17	53	83	43
gene_1000	0	0	65	152	76	72	40	79	61	56
gene_10000	0	0	8	4	8	5	1	2	4	1
gene_10001	0	0	1	0	0	4	1	0	1	1
gene_10002	0	0	2	0	7	1	0	1	1	0
gene_10003	0	0	0	2	0	1	1	3	0	1
gene_10004	0	0	55	116	52	48	26	59	43	53
gene_10005	0	0	3	2	5	3	0	4	4	4
gene_10006	0	0	24	12	48	20	20	26	27	21
gene_10007	0	0	0	0	0	0	1	0	0	0
gene_10008	0	0	59	138	55	69	41	74	81	63
gene_10009	0	0	2	1	0	4	2	0	2	0
gene_1001	0	0	5	8	1	2	2	3	7	3
gene_10010	0	0	0	0	1	1	0	0	0	0
gene_10011	0	0	5	29	9	9	6	3	5	5
gene_10012	0	0	1	2	5	3	0	2	6	5
gene_10013	0	0	7	6	5	5	5	7	8	4
gene_10014	0	0	8	7	27	15	5	21	40	15
gene_10015	0	0	0	2	4	6	1	0	3	5
gene_10016	0	0	9	31	6	9	8	7	5	6
gene_10017	0	0	0	0	0	0	0	0	0	0
gene_10018	0	0	0	0	0	0	0	0	0	0
gene_10019	0	0	0	1	1	1	1	2	0	1
gene_1002	0	0	5	9	9	16	1	7	3	3
gene_10020	0	0	0	1	0	0	0	0	0	0
gene_10021	0	0	0	0	1	0	0	0	0	0
gene_10022	0	0	0	0	0	0	0	0	0	0
gene_10023	0	0	0	0	0	0	0	0	0	0
gene_10024	0	0	9	3	1	5	1	3	5	3
gene_10025	0	0	0	1	1	0	1	0	0	0
gene_10026	0	0	22	42	3	22	4	9	6	5
gene_10027	0	0	1	2	0	0	0	0	0	0
gene_10028	0	0	10	31	20	21	9	24	20	17
gene_10029	0	0	16	41	13	17	6	18	12	3
gene_1003	0	0	2	8	4	11	6	6	4	9
gene_10030	0	0	1	0	2	2	1	0	1	2
gene_10031	0	0	0	0	0	0	0	0	0	0
gene_10032	0	0	4	2	1	1	1	2	0	0
gene_10033	0	0	1	0	0	0	0	0	0	0
gene_10034	0	0	0	0	0	0	0	0	0	0
gene_10035	0	0	0	0	3	2	1	0	1	3
gene_10036	0	0	47	96	57	54	40	34	38	30
gene_10037	0	0	6	6	6	6	1	3	4	4
gene_10038	0	0	12	32	18	17	6	14	20	13
gene_10039	0	0	56	98	41	47	22	40	44	34
gene_1004	0	0	16	30	33	30	17	30	25	26
gene_10040	0	0	2	4	1	1	1	0	1	1
gene_10041	0	0	1	0	0	0	0	0	0	0
gene_10042	0	0	0	0	0	0	0	0	0	0
gene_10043	0	0	0	0	0	0	0	0	0	0
gene_10044	0	0	3	1	2	1	2	2	3	0
gene_10045	0	0	179	214	130	172	94	206	179	136
gene_10046	0	0	6	19	9	7	3	8	10	8
gene_10047	0	0	0	0	0	0	0	0	0	0
gene_10048	0	0	27	45	18	24	4	5	15	6
gene_10049	0	0	0	1	0	1	0	0	0	0
gene_1005	0	0	19	36	27	23	9	19	13	10
gene_10050	0	0	30	120	96	117	166	185	104	170
gene_10051	0	0	1	0	0	0	0	0	1	0
gene_10052	0	0	7	5	24	9	4	22	25	6
gene_10053	0	0	4	10	9	3	1	7	7	0
gene_10054	0	0	0	0	0	0	0	0	0	0
gene_10055	0	0	0	0	0	0	0	0	0	0
gene_10056	0	0	8	4	14	4	5	9	12	6
gene_10057	0	0	13	55	15	26	9	15	17	13
gene_10058	0	0	3	25	9	13	8	9	18	14
gene_10059	0	0	1	3	2	0	0	0	0	0
gene_1006	0	0	21	51	11	20	10	10	18	10
gene_10060	0	0	17	53	22	26	7	23	6	11
gene_10061	0	0	4	4	4	8	7	4	1	7
gene_10062	0	0	68	97	118	103	30	81	70	52
