GeneID	GGOHX	GGOHY	GGOHZ	GGONA	GGONB	GGONC	GGONG	GGONH	GGONN	GGONO	GGONP
gene_1	0	0	0	0	0	0	0	0	0	0	0
gene_10	0	0	0	0	0	0	0	0	0	0	0
gene_100	0	0	0	29	20	55	119	118	132	32	11
gene_1000	0	0	0	30	165	46	194	221	184	64	17
gene_10000	0	0	0	0	16	2	9	15	14	0	0
gene_10001	0	0	0	0	1	0	2	1	0	0	0
gene_10002	0	0	0	4	3	1	4	3	3	1	0
gene_10003	0	0	0	1	4	0	4	7	3	0	0
gene_10004	0	0	0	34	169	45	127	135	185	36	13
gene_10005	0	0	0	0	4	4	23	24	27	3	1
gene_10006	0	0	0	8	9	19	49	101	51	16	1
gene_10007	0	0	0	0	0	0	0	0	0	0	0
gene_10008	0	0	0	35	172	50	171	197	176	24	8
gene_10009	0	0	0	1	1	0	2	0	1	0	0
gene_1001	0	0	0	1	12	5	4	11	10	3	0
gene_10010	0	0	0	0	0	0	1	3	1	0	0
gene_10011	0	0	0	0	12	3	33	21	25	3	0
gene_10012	0	0	0	0	0	4	3	10	7	1	0
gene_10013	0	0	0	1	8	5	9	19	9	4	1
gene_10014	0	0	0	5	25	13	52	64	64	4	2
gene_10015	0	0	0	0	1	4	0	6	4	8	0
gene_10016	0	0	0	8	17	1	35	29	23	8	2
gene_10017	0	0	0	0	0	0	0	0	0	0	0
gene_10018	0	0	0	0	0	0	0	0	0	0	0
gene_10019	0	0	0	1	2	1	2	7	0	1	0
gene_1002	0	0	0	1	9	7	12	12	10	3	1
gene_10020	0	0	0	0	0	0	0	0	0	0	0
gene_10021	0	0	0	0	0	0	0	0	0	0	0
gene_10022	0	0	0	0	0	0	0	0	0	0	0
gene_10023	0	0	0	0	0	0	0	0	0	0	0
gene_10024	0	0	0	3	8	4	3	16	6	1	1
gene_10025	0	0	0	2	1	0	0	1	2	1	0
gene_10026	0	0	0	2	30	3	20	28	8	3	4
gene_10027	0	0	0	0	1	0	0	0	1	0	0
gene_10028	0	0	0	4	26	13	65	34	39	11	0
gene_10029	0	0	0	2	35	13	39	34	33	11	2
gene_1003	0	0	0	0	9	4	20	17	8	4	0
gene_10030	0	0	0	0	4	1	2	6	4	0	0
gene_10031	0	0	0	0	0	0	0	0	0	0	0
gene_10032	0	0	0	0	4	5	9	8	7	1	0
gene_10033	0	0	0	0	0	0	0	0	0	0	0
